"protocolo";"data_manifestacao";"municipio_denunciante";"municipio_fato";"localFato";"manifestacao";"status_atual";"desc_status";"sigla";"nome";"tipo_manifestacao";"assunto";"sub_assunto"
"2020.0324.020125-67";"2020-03-24 02:01:25";;"GOIANIA";"Rua 94 N°575 Setor Sul Goiânia ";"A empresa de energia solar ( essencial engenharia eficiente ) localizada no endereço Rua 94 n°575 Setor Sul Está funcionando normalmente com funcionários na parte interna e também estão com funcionários exercendo atividades de instalação de sistema solar em residências de clientes espondo os funcinarios que estão realizando instalação de sistema solar nas residências ao perigo de contrair o covid-19 . ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.025631-24";"2020-03-24 02:56:31";"GOIANIA";"GOIANIA";"Hospital Amparo";"Sou médico no Pronto Socorro do Hospital Amparo e hoje uma paciente descumpriu a ordem de Permanecer em Isolamento por diversas vezes, devido à caso de suspeita de coronavírus. A paciente consciente colocou em risco de contaminação mais de 20 pessoas. Colocando em pânico todos os pacientes que estavam no pronto-socorro. Paciente se chama Isabella Rocha Ferreira e está com 30 anos de idade";"1";;"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.062253-14";"2020-03-24 06:22:53";;"GOIANIA";"Unimed Goiânia T-7";"A cooperativa Unimed Goiânia, está mantendo os atendimentos presenciais, para demandas não assistências, que não estão ligadas diretamente a saúde, e sim ao administrativo, como por exemplo a parte financeira. Os funcionários estão em desespero, pois o que desempenham lá, pode ser realizado em home office, porém as gestões não dão abertura, não querem ouvir, apenas estão pensando em ter recebimentos, não se importando com a saúde de seres humanos, que durante anos se dedicaram a cooperativa.Por favor, nos ajudem! Essa denuncia e também um pedido de socorro.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.064033-77";"2020-03-24 06:40:33";;"SENADOR CANEDO";;"O vapitu é vupit deveria fechar e não continuar aberto. Essiste alguns vapuit e Vupt aberto ainda e isso é ruim, feche todos ";"55";"Finalizado pela ouvidoria do Órgão.";"SEAD";"Secretaria de Estado de Administração (Antiga SEGPLAN)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.064625-93";"2020-03-24 06:46:25";;"GOIANIA";"Avenida t1 quadra 74 lote 08 n 1633 setor bueno";"Call center com mais de 100 pessoas funcionando normalmente, não diminuiu o quadro de funcionarios nem esta cumprindo a diatancia exigida pelo sinficado";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.065326-31";"2020-03-24 06:53:26";"HIDROLANDIA";"HIDROLANDIA";"BR 153";"Dream Park - Hidrolândia está  descumprindo o decreto  do governo, a Polícia  já  esteve no local, mas, mesmo assim está  conduzindo  os funcionários na van  com mais de 10 pessoas . Não  tem nenhuma  medida  de segurança  para os funcionários, como luvas, máscara, álcool gel.";"1";;"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.065730-37";"2020-03-24 06:57:30";;"INHUMAS";"Construção do hospital do câncer de Goiás ";"Obra da construção  do HCG na GO 070  empleno funcionamento  sem nenhum  um.tipo de proteção  para os funcionários  ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.065907-95";"2020-03-24 06:59:07";;"GOIANIA";"Rua 72 Edifício Trend Office Home";"Venho relatar que a empresa Incorpore Soluções, localizada na rua 72, Edifício Trend Office Home, 5° andar, está em funcionamento, descumprindo o decreto do Governador.";"21";"Sob análise do orgão responsável.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0324.070359-50";"2020-03-24 07:03:59";;"GOIANIA";"Setor central";"Tem uma obra em pleno funcionamento com uma quantidade expressiva de funcionários, ao lado do shopping galo na avenida independência esquina com a 44.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.071121-76";"2020-03-24 07:11:21";;"APARECIDA DE GOIANIA";"rua paracanas quadra 03 lote 12 a 15 jardim eldorado - DIMAG APARECIDA DE GOIANIA GOAIS";"A empresa windor industria de metais localizada na rua paracanas quadra 03 lotes 12 a 15, jardin eldorado - DIMAG - Aparecidade de goiania Goias, mesmo após decreto feito no ultimo fim de semana pelo governador do Estado se recusa a interronper suas atividades, colocando em risco a vida dos funcionarios e da coletividade.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.071225-89";"2020-03-24 07:12:25";;"GOIANIA";"Rua 95 N°575 setor Sul ";"A empresa de energia solar ( essencial engenharia eficiente ) localizada no endereço Rua 94 n°575 Setor Sul Está funcionando normalmente com funcionários na parte interna e também estão com funcionários exercendo atividades de instalação de sistema solar em residências de clientes espondo os funcinarios que estão realizando instalação de sistema solar nas residências ao perigo de contrair o covid-19 .";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.071409-14";"2020-03-24 07:14:09";;"RIO VERDE";"Obra Cipreste em frente ao Espelho dagua, parque solar do agreste a";"Obra permanece funcionando mesmo com os decretos que a impedem disso, colocando funcionarios e vizinhos em risco de contagio. O dono ja foi informado e nada fez. Os vizinhos já reclamaram e a neglicencia permaneceu.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.071418-56";"2020-03-24 07:14:18";;"GOIANIA";;"Em frente (num estacionamento na praça) a Agência da Caixa Economica Federal (3037 Cerrado próximo do Terminal Bandeiras) tem um carrinho de comida em pleno funcionamento em tempos de quarentena, assim como também está aberto, e com pessoas aglomeradas, o bar YUCATAN que também fica em frente a esta praça. A rua do bar é a Rua Suécia esquina com a Rua Dinamarca no Setor Jardim Europa. ";"1";;"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.071628-40";"2020-03-24 07:16:28";;"IPORA";"Figorifico berrante";"Figorifico trabalhando com funcionários gripados e mulher grávida ";"55";"Finalizado pela ouvidoria do Órgão.";"SES";"Secretaria de Estado da Saúde ";"Comunicação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0324.071807-25";"2020-03-24 07:18:07";;"GOIANIA";"Bairro Ipiranga ";"Meu filho saindo agora para trabalhar, enquanto todos deveriam ficar em casa. Distribuidora de Auto Peças Vespor Automotive está fazendo os funcionários ir cumprir horário normalmente. Como as demais distribuidora fecharam, lá eles continua vendendo. Rua guararapes bairro Ipiranga ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072115-42";"2020-03-24 07:21:15";;"GOIANIA";"Elétrica e torneadora nissei";"Empresa se mantém aberta colocando em risco pais e mães de família com filhos pequenos";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072215-38";"2020-03-24 07:22:15";;"APARECIDA DE GOIANIA";"Vila brasilia";"A ferragista iparts componentes de frente ao supermercado brasil está funcionando normal e com funcionário trabalho sem máscara e álcool em gel o patrão deixou a porta da ferragista  meia aberta para recebe cliente";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072429-77";"2020-03-24 07:24:29";;"HIDROLANDIA";"Av. Antônio Mendonça - Centro";"Bom dia. Em Hidrolândia, na Av. Antônio Mendonça abaixo do Supermercado Mix, tem uma loja aberta ainda. A loja parece ser uma agropecuária más não é, lá não vende ração e nem remédio para manutenção da vida animal, e sim peças de ordenhadeiras e tanques. Estou bastante preocupada com esses locais que não estão obedecendo o decreto estadual e nem municipal. Ontem funcionatam de 9h às 18h.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072519-88";"2020-03-24 07:25:19";;"CAMPOS BELOS";"Armazém do Pneu";"Empresa tem funcionado, mantendo a porta fechada, obrigado os funcionários a sair de casa e os colocandos em risco.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072712-87";"2020-03-24 07:27:12";;"GOIANIA";;"Peço que o Estado começe a testar todas as pessoas que estão trabalhando obrigatoriamente, independente de estarem com sintomas ou não, visando descobrir se estão doentes, pois já é sabido de todos que o vírus fica incubado por alguns dias e até que sejam sentidos sintomas, o doente já passou o Coronavírus para mais pessoas. Nós que estamos trabalhando sabemos do nosso papel importante e essencial neste momento de calamidade, mas entretanto, muitos de nós somos imunossuprimidos e não podemos nem sair de nossos postos de trabalho. É por dignidade à nossa pessoa, é por salubridade do nossos postos de trabalho (independente de sermos da Saúda, da Comurg, da Saneago, das Polícias ou do Exército). Não podemos deixar de trabalhar, mas sem a testagem geral e prévia, nós só conteremos esse vírus quando for tarde demais. E é de conhecimento geral também que o Sistema de Saúde seja público seja particular não conseguirá atender a todos. Por isso reitero que sejam feitas testagens em nós de forma geral e indiscriminada, pois assim, poderemos enfrentar melhor tudo que estamos vivenciando. Não é hora de seletivismo. O Estado precisa começar a fazer essas testagens. Nosso Governador precisa continuar a mostrar que Goiás está a frente de tudo, asim como vem demonstrando desde o início e iniciando a testagem geral corroborará ainda mais com esse posicionamento. ";"55";"Finalizado pela ouvidoria do Órgão.";"SEGOV";"Secretaria de Estado do Governo";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072909-63";"2020-03-24 07:29:09";;"GOIANIA";"Goias";"Na Rua GV5 QD13 LT10 NO RESIDENCIAL   GOIANIA VIVA ,TEM UMA CONFECCAO EM QUE ESTAO TRABALHANDO NUM AMBIENTE 5X5,OITO PESSOAS SEM NENHUMA PROTECAO,COM UM FLUXO DE MOVIMENTO CONSTANTE DE PESSOAS MUITO INTENSO,SOLICITO URGENTE UMA FISCALIZACAO!";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072915-72";"2020-03-24 07:29:15";;"GOIANIA";"Diversos locais com obras em Goiânia, no entanto o presenciado hoje por volta das 07:00h foi no antigo terminal Isidória.";"De acordo com governo do estado de Goiás deve-se funcionar somente aquilo que seja essencial a vida. Valorizo o empenho da prefeitura na finalização de suas obras em Goiânia, mas será que obras como a BRT entre outras que estão sendo realizadas em Goiânia são essenciais a vida humana em tempo de pandemia ? Que valor estamos dando a vida desses trabalhadores ? Até onde sabemos obra civil entra na listagem. Será que estamos cientes de que essas pessoas acabam se aglomerando nos horários de entrada e ainda com chuva como acabei de ver no novo terminal na praça do cruzeiro mais de dezenas de funcionários em uma tenda juntos ? Creio que o mesmo ocorra no horário de almoço ? Momentos em que estão trabalhando no sol sem água ou q q proteção necessária. Enfim, quais recomendações estão sendo passadas para essas pessoas ? Existe se quer um revesamento se a prefeitura de Goiânia acha tão essencial a vida humana obras como essas ? Essas pessoas são imunes a pandemia ? Precisamos acordar não podemos deixar nosso sistema de saúde se tornar um caus. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.072936-26";"2020-03-24 07:29:36";;"GOIANIA";"Três Irmãos Contabilidade para Condomínios AV C-106 Qd. 304 Lt. 4 N. 97 Jardim América  Goiânia - Goiás 74255050";"O proprietário da empresa não acredita e não toma medidas para conter a pandemia, só pensa em sí e no lucro que irá perder, não oferece nenhuma opção de isolamento para seus funcionários.  ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.073210-44";"2020-03-24 07:32:10";;"SAO MIGUEL DO ARAGUAIA";;"Os comércios que precisam ser fechados em São Miguel do Araguaia estão funcionando. Os funcionarios ficam dentro da loja e vai abrindo a porta para os clientes entrarem. A polícia não está fazendo questão de fiscalizar, a gente liga no 190 e não adianta. Está funcionando muitos comércios, poucos estão fechados. Não está funcionando só os autorizados.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.073338-56";"2020-03-24 07:33:38";;"GOIANIA";"chácara área retiro";"Empresa ypê está funcionando,não produz nada de essencial para a vida e continua colocando funcionários em risco, só produz lã de aço, bucha e perfex , ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.073431-0";"2020-03-24 07:34:31";;"GOIANIA";"Tres irmaos contabilidade para condominos av c-106 qd. 304 lt. 4 n. 97 jardim america goiania -goias 74255050";"Os gestores se negam a tender a solicitação do governo e mantém seus funcionários em ritmo de trabalho normal e não propõe nenhuma proposta para que estes fiquem emnisolamento.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.073743-87";"2020-03-24 07:37:43";;"GOIANIA";"Três Irmãos Contabilidade para Condomínios AV C-106 Qd. 304 Lt. 4 N. 97 Jardim América  Goiânia - Goiás 74255050";"Os proprietários da empresa não querem atender o pedido do governo de isolamento, mesmo tendo suspeita de pessoa infectadas com corona vírus no local de trabalho.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.074007-31";"2020-03-24 07:40:07";;"GOIANIA";"Go";"Empresa de comercialização de tintas de "portas fechadas" permanece o serviço com os funcionários dentro. Tintas sherin Williams em frente o Mc donalds da jamel Cecilio jardim Goiás ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.074055-97";"2020-03-24 07:40:55";;"JATAI";"Ortek Metalúrgica (Rua 111-A Setor Industrial)";"Empresa funcionando irregularmente após decreto estadual que pede para que a mesma interrompa os serviços durante quarentena";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.074650-14";"2020-03-24 07:46:50";;"GOIANIA";"Goiânia";"Estabelecimento abrindo normalmente.Prime Comercial com 8 funcionários dentro.Av c 171 n. 1191, qd. 430 lt. 24, st jardim america, cep 74 275-010, goiânia, Goiásporta de vidro ao ladra DRogaReis";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.074659-61";"2020-03-24 07:46:59";;"GOIANIA";"Leste oeste autor centre na avenida lá paz setor das nações perto vera Cruz 2";"Quero denúncia uma empresa que está aberta mesmo depois da polícia , a empresa está sendo irresponsável com seus funcionários colocando a vida deles e de sua família em risque trabalhando sem devidos cuidado , menos da distância recomendada , com mais de 25 funcionários, segunda polícia mando fecha e mesmo assim insiste fica aberta .  A empresa se chama leste oeste auto center , na avenida lá paz chegando no vera Cruz 2 saída pra trindade ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.074805-96";"2020-03-24 07:48:05";;"JATAI";"Ortek Metalúrgica e Comércio Ltda";"Empresa não acatou as exigências do decreto estadual e funciona irregularmente durante período de quarentena";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.075447-55";"2020-03-24 07:54:47";;"CATALAO";"Av. Castelo Branco, 35 - Setor Universitário";"Existe um disk bebidas o qual está com suas portas abertas, havendo uma grande movimentação de pessoas.O mesmo está vendendo bebidas a vontade em seu estabelecimento. Já liguei uma vez para a polícia militar da minha cidade, o qual não fez nada. Todos os funcionários que estão trabalhando, estão sem equipamentos de proteção. Estamos preocupados.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.075524-24";"2020-03-24 07:55:24";;"CRISTALINA";"Centro";"Bom dia. Então estou lhe escrevendo por meio de celular para fazer uma denúncia sobre as Lojas Americanas pois ela estar abrindo normalmente, creio que por se tratar de um ambiente que não oferece produtos necessários a vida humana, está loja esteja incentivando as pessoas a saírem de sua casa por motivos não necessários, sem contar que os funcionários estão exercendo suas funções sem nenhuma proteção, veio ressaltar que um colega próximo que trabalha lá ressaltou que já foi liberado para fechar a loja e só estão esperando mais uma visita da fiscalização e vigilância, por favor, atuem sobre isso!!!";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.075646-54";"2020-03-24 07:56:46";;"GOIANIA";"Rua vb 19, n 497, qd 21 lt 25 residêncial vereda dos Buritis";"Uma fábrica de doce funcionando normalmente, fazendo muito barulho é a caldeira dele soltando muita fumaça atrapalhando a gente que estamos de quarentena em casa.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.075708-87";"2020-03-24 07:57:08";;"CEZARINA";"Prox igreja católica ";"Em CEZARINA os comercios continuam abertos, ao lado da minha casa tem uma ferragista lotada tdo santo dia de gente pelo amooor de Deus nos ajudeee";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.080037-25";"2020-03-24 08:00:37";"GOIANIA";"GOIANIA";"DERGO";"TEMOS EMPRESA DE VENDAS DE PEÇAS E MANUTENÇÃO DE CAMINHÕES PODEMOS FICAR ABERTO";"1";;"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0324.080047-62";"2020-03-24 08:00:47";;"RIO VERDE";"Crown";"Empresa crown embalagens está em funcionamento colocando seus funcionários em risco pois na cidade de Rio Verde já tem casos confirmados de corona vírus";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.080426-12";"2020-03-24 08:04:26";;"TRINDADE";"Fazenda fazendinha Chácara 5/6 Zona rural Trindade .Fica próximo ao curtume coming";"O patrão não quer fechar a empresa. Fazendo cm q 16 funcionários fica aglomerados trabalhando normalmente. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.080551-20";"2020-03-24 08:05:51";;"GOIANIA";"Setor Sul";"O jornal O Hoje está colocando pessoas doentes pra trabalhar com saudáveis. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.080555-87";"2020-03-24 08:05:55";;"GOIANIA";"Eternit ";"Eternit GO está em pleno funcionamento De acordo com o decreto municipal onde todas e qualquer indústria ou comercio deveriam estar fechados.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.080616-45";"2020-03-24 08:06:16";;"GOIANIA";"Rua C-268, quadra 251, lote 13 Setor Nova Suiça, Empresa: Unicoon Proteção Veicular";"Empresa de proteção veicular está trabalhando normalmente, sendo que tem uma senhora que tem diabetes e pega vários ônibus e eles não liberaram.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.081345-82";"2020-03-24 08:13:45";;"SANTA BARBARA DE GOIAS";"FUTURARTE COMUNICAÇÃO VISUAL";"ESTABELECIMENTO FUNCIONANDO DE PORTAS FECHADAS, PORÉM SEM RESTRIÇÃO DE ENTRADA DE CLIENTES. CONTINUANDO SEUS SERVIÇOS NORMALMENTE. APENAS PARA BURLAR A LEI DE FECHAMENTO. COM 8 FUNCIONÁRIOS MAIS A FAMÍLIA. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.081428-94";"2020-03-24 08:14:28";;"SENADOR CANEDO";"Radar";"Há um estabelecimento que esta aberto, e com grande fluxo de pessoas, podendo gerar risco de contágio.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.081456-11";"2020-03-24 08:14:56";;"APARECIDA DE GOIANIA";"Rua 14 Qd,35 Lt.06 N°304 bairro Santo Antônio";"Então é porque na empresa do meu marido (Dellano:empresa de móveis planejados ) estão deixando mais de 10 funcionários todos juntos dentro de um galpão fechado ,sem higienização,E todos deitados no chão pois não tem oq fazer na empresa ,mas eles disseram q não vai libera ,ai aqui em casa tem um bebê recém nascido ,e tem outros homens lá que também tem filhos pequeno em casa ,ai eu gostaria que vocês enviasse alguém pra ir resolver essa situação ";"1";;"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Solicitação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.081505-29";"2020-03-24 08:15:05";;"GOIANIA";"Goop rua 159 ao lado do fujioka da t9";"estabelecimento Goop se mantem aberto colocando seus funcionários em rrisco, trabalgando la dentro abafado, com uma unica porta meio aberta ainda, continua com atendimento ao cliente, nao fornece mascaras luvas e alcool gel";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.081548-57";"2020-03-24 08:15:48";;"GOIANIA";"Bairro Ipiranga ";"Empresa Vespor Automotive está aberta ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.082020-31";"2020-03-24 08:20:20";;"GOIANIA";"Jardim América ";"Bares abertos na rua C-32 no Jardim América ( em frete a igreja e em frente a clínica Neflon) aglomeração de pessoas ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.082600-9";"2020-03-24 08:26:00";;"GOIANIA";"MAGDA ANDRADE ADVOCACIA - Av. C-107 - Jardim America";"EMPRESA DE ADVOCACIA QUE ESTA COM TRABALHO INTERNO FUNCIONANDO, COLOCANDO EM RISCO AS PESSOAS E RECEBENDO TÉCNICOS E CLIENTES NO LOCAL. ";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0324.082641-69";"2020-03-24 08:26:41";;"SAO FRANCISCO DE GOIAS";"funeraria pax açianca";"passei na porta da funerária pax aliança em são francisco de goias hoje pela manha e fiquei preocupada ao vê que as obras la não parara. ainda mais que os pedreiros são pessoas de idades, e continuam trabalhando como se nada tivesse acontecendo sem nem tomar nenhuma medida. um absurdo e ainda moram em outras cidades correndo o risco de levar de uma cidade para outra.";"4";"Finalizado pela ouvidoria.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
